temperature,velocity,altitude,signal_strength
15.01,7.54,462,0.84
16.04,7.28,506,0.7
14.1,7.88,460,0.97
14.25,7.45,469,0.99
16.25,7.75,456,0.9
14.78,7.34,589,0.92
15.98,7.72,536,0.94
15.5,7.95,523,0.83
14.4,7.26,590,0.76
15.95,7.83,503,0.98
14.55,7.76,555,0.72
18.948365630198424,7.79,573,0.84
16.15,7.3,495,0.96
17.019884771691448,7.49,418,0.73
14.69,7.6,411,0.89
15.76,7.34,497,0.78
16.34,7.5,522,0.89
15.69,7.38,438,0.85
15.23,7.83,524,0.79
20.50841799679463,7.85,444,0.83
14.48,7.66,451,0.79
14.43,7.42,560,0.98
15.24,7.65,463,0.82
15.69,7.69,559,0.8
15.3,7.23,405,0.89
16.43,7.32,454,0.97
19.46633591731261,7.41,526,0.71
16.34,7.1,481,0.9
16.01,7.81,463,0.93
16.11,7.14,599,0.71
16.19,7.56,459,0.76
15.97,7.96,570,0.72
15.5,7.69,474,0.79
16.15,7.48,424,0.82
14.32,7.09,461,0.75
14.02,7.39,464,0.82
17.647907602822073,7.57,436,0.76
15.88,7.16,486,0.81
16.39,7.75,527,0.99
15.26,7.64,461,0.75
14.66,7.33,588,0.82
16.44,7.31,462,0.98
15.77,7.53,400,0.71
15.97,7.29,579,0.93
15.61,7.55,411,0.74
14.3,7.38,462,0.9
14.59,7.32,539,0.74
15.06,7.84,516,0.9
16.13,7.72,577,0.87
16.36,7.13,547,0.97
14.79,7.47,514,0.88
14.68,7.3,513,0.99
15.86,7.39,408,0.99
15.97,7.2,553,0.93
15.4,7.09,495,0.85
14.32,7.46,546,0.89
15.5,7.58,451,0.94
15.21,7.76,552,0.79
15.11,7.28,514,0.88
16.35,7.43,597,0.78
15.2,7.1,443,0.81
16.4,7.96,415,0.98
18.12968216232793,7.87,553,0.94
14.41,7.33,418,0.95
14.95,7.87,515,0.82
14.46,7.45,416,0.88
14.68,7.78,498,0.73
14.58,7.11,496,0.92
15.03,7.27,544,0.92
16.18,7.25,456,0.77
15.14,7.77,588,0.88
15.58,7.13,452,0.89
17.927683890018724,7.28,521,0.9
19.422721400787776,7.8,578,0.85
15.18,7.66,593,0.77
15.64,7.22,408,0.79
15.89,7.69,482,0.8
14.05,7.59,456,0.83
16.28,7.35,462,0.96
14.56,7.5,443,0.95
14.02,7.77,420,0.91
14.84,7.52,561,0.77
15.44,7.27,569,0.77
14.8,7.55,514,0.73
15.59,7.93,547,0.98
15.5,7.41,513,0.84
15.5,7.56,541,0.94
15.53,7.15,577,0.76
15.36,7.87,402,0.71
15.3,7.44,470,0.88
14.85,7.42,458,0.88
14.12,7.94,463,0.98
15.21,7.97,567,0.81
16.18,7.56,524,0.81
14.33,7.88,510,0.87
15.01,7.51,554,0.88
15.12,7.51,403,0.78
14.81,7.0,573,0.99
16.31,7.24,515,0.76
16.48,7.0,599,0.78
15.48,7.03,448,0.88
18.353198329953827,7.89,484,0.77
15.39,7.38,420,0.79
14.68,7.56,561,0.86
15.09,7.92,461,0.83
15.62,7.97,532,0.85
15.84,7.19,412,0.9
15.8,7.11,542,0.87
16.18,7.92,531,0.78
14.66,7.33,507,0.81
14.68,7.96,476,0.98
15.77,7.73,497,0.89
19.46786694870815,7.16,487,0.85
16.04,7.77,558,0.72
14.8,7.95,592,0.89
15.33,7.39,556,0.71
15.97,7.92,522,0.71
15.57,7.48,506,0.81
15.11,7.2,407,0.74
15.68,7.17,539,0.81
15.93,7.97,547,0.99
15.49,7.23,541,0.8
16.06,7.88,498,0.76
14.07,7.96,442,0.96
15.32,7.44,450,0.77
15.23,7.66,434,0.84
15.54,7.44,585,0.99
15.67,7.68,519,0.89
14.46,7.87,551,0.95
15.43,7.72,504,0.79
15.8,7.12,475,0.84
14.33,7.8,449,0.76
15.31,7.7,567,1.0
14.94,7.19,462,0.9
15.55,7.25,572,0.82
14.25,7.22,411,0.77
14.91,7.36,527,0.96
16.45,7.37,582,0.87
15.67,7.91,509,0.73
15.43,7.98,465,0.71
19.68915840720132,7.83,555,0.9
15.12,7.1,561,0.79
16.43,7.99,441,0.99
15.42,7.71,505,0.97
14.61,7.04,471,0.79
19.391927673070683,7.28,414,0.74
19.36508946290762,7.14,401,0.99
17.09666065783242,7.74,415,0.99
15.4,7.18,453,0.78
14.63,7.97,495,0.77
15.8,7.06,571,0.92
15.53,7.92,506,0.74
15.69,7.93,490,0.78
16.921171204133643,7.27,457,0.94
18.713264078209225,7.33,525,0.72
15.01,7.34,434,0.97
16.09,7.89,553,0.81
15.57,7.14,595,0.93
18.37367027569986,7.55,512,0.82
15.96,7.83,576,0.87
15.22,7.2,498,0.97
15.45,7.91,551,0.74
14.53,7.57,461,0.99
14.21,7.98,485,0.85
18.408808368705156,7.06,452,0.79
15.64,7.64,596,0.92
15.2,7.16,418,0.74
18.333642685629208,7.72,563,0.77
16.2,7.15,441,0.85
19.071584240357886,7.36,549,0.92
15.64,7.19,465,0.79
20.50670915460726,7.98,547,0.75
15.73,7.32,468,0.93
14.28,7.28,558,0.87
14.94,7.79,485,0.73
17.453006269034944,7.52,597,0.72
17.891847112843195,7.07,501,0.87
15.66,7.4,475,0.81
16.38,7.16,521,0.81
14.92,7.2,515,0.75
15.94,7.74,514,0.93
14.63,8.0,575,0.73
15.22,7.18,422,0.87
16.38,7.92,589,0.93
16.43,7.5,480,0.97
14.89,7.22,571,0.99
14.23,7.74,480,0.86
17.96120197298794,7.88,461,0.89
14.78,7.44,401,0.72
14.24,7.47,562,0.92
14.59,7.97,448,0.85
16.3,7.47,451,0.79
14.97,7.78,579,0.93
15.82,7.49,433,0.95
14.43,7.15,423,0.99
14.09,7.59,497,0.95
15.73,7.62,575,0.8
14.16,7.01,419,0.97
14.61,7.3,434,0.85
14.11,7.09,523,0.86
14.07,7.25,588,0.76
15.94,7.3,573,0.94
16.43,7.8,480,1.0
15.49,7.65,541,0.89
20.279306809947656,7.21,494,0.9
15.3,7.6,565,0.95
15.64,7.97,425,0.72
16.08,7.02,490,0.78
16.28,7.46,523,0.92
15.4,7.54,451,0.77
16.524712328834255,7.69,531,0.75
15.3,7.06,424,0.77
16.28,7.49,590,0.77
14.52,7.28,597,0.82
16.46,7.63,470,0.83
15.17,7.56,546,0.89
14.67,7.5,577,0.95
14.43,7.46,461,0.99
16.06,7.8,549,0.78
16.06,7.4,590,0.99
16.47,7.61,572,0.84
18.39872479322273,7.15,529,0.86
