timestamp,object_id,temperature,velocity,altitude,signal_strength,sensor_status,anomaly_flag
2026-03-02 11:10:00,OBJ-001,INVALID,7.5,430,0.6250521070116877,DEGRADED,0
2026-03-02 11:20:00,OBJ-003,INVALID,7.41,594,0.71,OK,0
2026-03-02 14:25:00,OBJ-005,INVALID,7.31,564,0.3949294676660501,DEGRADED,0
2026-03-02 14:30:00,OBJ-005,INVALID,7.37,595,0.87,OK,0
2026-03-02 15:00:00,OBJ-005,15.73,7.87,498,0.4702117017723466,DEGRADED,0
2026-03-02 15:30:00,OBJ-003,14.39,7.22,447,0.5327404280864743,DEGRADED,0
2026-03-02 15:55:00,OBJ-004,15.25,7.82,471,0.4153130672298063,DEGRADED,0
2026-03-02 16:10:00,OBJ-005,INVALID,7.96,559,0.87,OK,0
2026-03-02 16:30:00,OBJ-003,15.37,7.76,406,0.4656347433938249,DEGRADED,0
2026-03-02 16:35:00,OBJ-002,14.06,7.35,570,0.39901772024097215,DEGRADED,0
2026-03-02 16:50:00,OBJ-001,16.08,7.76,544,0.6031969635526945,DEGRADED,0
2026-03-02 16:55:00,OBJ-001,15.21,7.5,599,0.2826299812268037,DEGRADED,0
2026-03-02 17:25:00,OBJ-001,14.23,7.8,484,0.34282420424763027,DEGRADED,0
2026-03-02 17:35:00,OBJ-005,15.07,7.72,535,0.48372792064609393,DEGRADED,0
2026-03-02 17:45:00,OBJ-005,15.0,7.57,591,0.4693565014345087,DEGRADED,0
2026-03-02 17:50:00,OBJ-005,14.86,7.81,439,0.546326571812745,DEGRADED,0
2026-03-02 18:05:00,OBJ-005,14.86,7.18,554,0.43737748424323447,DEGRADED,0
2026-03-02 18:20:00,OBJ-002,14.29,7.16,562,0.5296913941381993,DEGRADED,0
2026-03-02 18:30:00,OBJ-004,INVALID,7.7,483,1.0,OK,0
2026-03-02 18:50:00,OBJ-002,INVALID,7.01,518,0.89,OK,0
2026-03-02 18:55:00,OBJ-004,INVALID,7.83,509,0.89,OK,0
2026-03-02 19:35:00,OBJ-003,15.73,7.02,437,0.6031747465172729,DEGRADED,0
2026-03-02 21:10:00,OBJ-001,INVALID,8.0,517,0.71,OK,0
2026-03-02 21:15:00,OBJ-003,INVALID,7.18,526,0.92,OK,0
2026-03-02 22:00:00,OBJ-005,INVALID,7.04,504,0.9,OK,0
2026-03-02 22:40:00,OBJ-004,15.02,7.77,529,0.5028566710729291,DEGRADED,0
2026-03-02 23:25:00,OBJ-002,14.9,7.23,507,0.43267826369956,DEGRADED,0
2026-03-02 23:35:00,OBJ-003,15.78,7.45,452,0.36532973514376554,DEGRADED,0
2026-03-02 23:55:00,OBJ-004,14.55,7.42,402,0.563213028108065,DEGRADED,0
2026-03-03 00:50:00,OBJ-004,INVALID,7.21,441,0.93,OK,0
2026-03-03 01:40:00,OBJ-001,INVALID,7.09,586,0.7,OK,0
2026-03-03 02:00:00,OBJ-002,INVALID,7.37,418,0.76,OK,0
2026-03-03 02:25:00,OBJ-001,16.23,7.39,599,0.5496165502705289,DEGRADED,0
2026-03-03 02:30:00,OBJ-005,16.32,7.46,539,0.5737592639612982,DEGRADED,0
2026-03-03 02:40:00,OBJ-001,15.36,7.79,587,0.577373882395534,DEGRADED,0
2026-03-03 03:05:00,OBJ-003,14.64,7.86,422,0.5320923265224364,DEGRADED,0
2026-03-03 03:45:00,OBJ-003,19.821396904817444,7.6,573,0.6811887777389974,DEGRADED,1
2026-03-03 03:50:00,OBJ-003,INVALID,7.54,571,0.81,OK,0
2026-03-03 04:25:00,OBJ-003,INVALID,7.05,514,0.9,OK,0
2026-03-03 04:40:00,OBJ-004,18.77887403889184,7.0,470,0.4148018662984594,DEGRADED,1
2026-03-03 04:55:00,OBJ-005,INVALID,7.69,453,0.91,OK,0
2026-03-03 05:30:00,OBJ-004,18.819514997340818,7.3,570,0.5504117959553989,DEGRADED,1
2026-03-03 05:35:00,OBJ-002,INVALID,7.95,498,0.95,OK,0
